COUNTY,BALLOT_MEASURE_ID,YES_COUNT,NO_COUNT
Alameda,6,"139,609","424,863"
Alpine,6,183,420
Amador,6,"10,423","6,928"
Butte,6,"41,925","45,052"
Calaveras,6,"12,689","8,518"
Colusa,6,"3,506","2,161"
Contra Costa,6,"140,839","267,455"
Del Norte,6,"4,248","3,878"
El Dorado,6,"50,228","37,080"
Fresno,6,"130,617","117,159"
Glenn,6,"5,128","3,083"
Humboldt,6,"17,096","34,412"
Imperial,6,"15,228","17,457"
Inyo,6,"3,554","3,514"
Kern,6,"112,506","86,540"
Kings,6,"17,626","12,147"
Lake,6,"9,333","11,262"
Lassen,6,"5,897","2,996"
Los Angeles,6,"1,119,062","1,773,117"
Madera,6,"22,779","15,229"
Marin,6,"28,814","96,414"
Mariposa,6,"4,488","3,610"
Mendocino,6,"10,431","22,017"
Merced,6,"28,027","30,266"
Modoc,6,"2,169","1,212"
Mono,6,"1,929","2,822"
Monterey,6,"40,524","73,530"
Napa,6,"19,842","35,170"
Nevada,6,"26,364","26,878"
Orange,6,"577,900","482,319"
Placer,6,"97,330","75,244"
Plumas,6,"5,013","4,065"
Riverside,6,"358,259","275,593"
Sacramento,6,"229,100","278,560"
San Benito,6,"8,658","11,163"
San Bernardino,6,"300,713","231,044"
San Diego,6,"578,961","557,432"
San Francisco,6,"60,002","291,660"
San Joaquin,6,"93,560","97,945"
San Luis Obispo,6,"55,945","67,353"
San Mateo,6,"78,232","200,314"
Santa Barbara,6,"58,435","92,793"
Santa Clara,6,"189,463","406,249"
Santa Cruz,6,"30,164","86,518"
Shasta,6,"41,927","26,755"
Sierra,6,852,775
Siskiyou,6,"9,570","7,978"
Solano,6,"62,362","81,017"
Sonoma,6,"59,166","147,467"
Stanislaus,6,"77,367","76,364"
Sutter,6,"17,708","11,406"
Tehama,6,"12,546","7,897"
Trinity,6,"2,665","2,558"
Tulare,6,"56,848","41,264"
Tuolumne,6,"12,914","10,439"
Ventura,6,"146,052","159,641"
Yolo,6,"24,746","47,815"
Yuba,6,"11,700","7,263"
State Totals,6,"5,283,222","6,952,081"
