"County","Sector","2017","Total Usage"
"ALAMEDA","Total","     379.032277","     379.032277"
"AMADOR","Total","       6.257410","       6.257410"
"BUTTE","Total","      44.838804","      44.838804"
"CALAVERAS","Total","       0.961404","       0.961404"
"COLUSA","Total","      28.309933","      28.309933"
"CONTRA COSTA","Total","    1117.912243","    1117.912243"
"EL DORADO","Total","      33.828560","      33.828560"
"FRESNO","Total","     341.199319","     341.199319"
"GLENN","Total","       8.562598","       8.562598"
"HUMBOLDT","Total","      32.365570","      32.365570"
"IMPERIAL","Total","      40.442318","      40.442318"
"KERN","Total","    2397.138219","    2397.138219"
"KINGS","Total","      64.287925","      64.287925"
"LAKE","Total","20","20"
"LASSEN","Total","       2.436274","       2.436274"
"LOS ANGELES","Total","    2956.718888","    2956.718888"
"MADERA","Total","      54.737692","      54.737692"
"MARIN","Total","      70.291466","      70.291466"
"MARIPOSA","Total","       0.001117","       0.001117"
"MENDOCINO","Total","      10.560536","      10.560536"
"MERCED","Total","     117.577700","     117.577700"
"MONTEREY","Total","     110.314459","     110.314459"
"NAPA","Total","      38.928970","      38.928970"
"NEVADA","Total","      20.515696","      20.515696"
"ORANGE","Total","     576.023027","     576.023027"
"PLACER","Total","      92.234611","      92.234611"
"RIVERSIDE","Total","     393.428777","     393.428777"
"SACRAMENTO","Total","     308.776987","     308.776987"
"SAN BENITO","Total","      13.387283","      13.387283"
"SAN BERNARDINO","Total","     493.140478","     493.140478"
"SAN DIEGO","Total","     479.835986","     479.835986"
"SAN FRANCISCO","Total","     229.964861","     229.964861"
"SAN JOAQUIN","Total","     200.761231","     200.761231"
"SAN LUIS OBISPO","Total","      83.787570","      83.787570"
"SAN MATEO","Total","     211.256396","     211.256396"
"SANTA BARBARA","Total","     125.495612","     125.495612"
"SANTA CLARA","Total","     444.979800","     444.979800"
"SANTA CRUZ","Total","      52.666961","      52.666961"
"SHASTA","Total","      34.393733","      34.393733"
"SIERRA","Total","20","20"
"SOLANO","Total","     228.487698","     228.487698"
"SONOMA","Total","     113.305238","     113.305238"
"STANISLAUS","Total","     186.948620","     186.948620"
"SUTTER","Total","      20.896556","      20.896556"
"TEHAMA","Total","      11.530802","      11.530802"
"TRINITY","Total","       0.059224","       0.059224"
"TULARE","Total","     150.427003","     150.427003"
"VENTURA","Total","     170.977292","     170.977292"
"YOLO","Total","      59.799291","      59.799291"
"YUBA","Total","      11.261339","      11.261339"
